locality,publications,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon,region,migratory_distance_km
"Schela-Cladovei (Mehedinți County, Drobeta-Turnu Severin)",AkbariReichNature2026; AllentoftWillerslevNature2024; González-FortesHofreiterCurrBiol2017; MathiesonReichNature2018,1,"10,000-5,000 BP",8,25,0.2241543084383011,44.626111,22.605833,europe,4295.195149306433
"BeiQian (Qingdao, Jimo)",LiuFuNatComm2025,1,"10,000-5,000 BP",29,376,0.22439581155776978,36.36,120.44000000000001,asia,10490.613100043845
"Boismana-2 (Primorsky Krai, Khasansky District)",WangReichNature2021,1,"10,000-5,000 BP",18,101,0.22534416615962982,42.7894444,131.27611100000001,asia,10999.278805539709
"Karavaikha (Vologda Oblast, Kirillovsky District, Karavaikha Village)",AllentoftWillerslevNature2024; PosthKrauseNature2023; SaagMetspaluSciAdv2021,1,"10,000-5,000 BP",9,36,0.22656342387199402,60.467835,38.900615,asia,5884.381331710696
"Zhaodong on the northern bank of the Songhua River (Amur River Basin, southwest Heilongjiang Province, Songnen Plain)",MaoFuCell2021,1,"10,000-5,000 BP",12,45,0.22770580649375916,45.96,125.77999999999999,asia,10450.352341598478
"Baligang (Nanyang, Dengzhou)",YangHuangNatCommun2025,1,"10,000-5,000 BP",42,711,0.22772744297981262,32.691667,112.13472199999998,asia,9953.688520471156
"Vovnihy-1 (Zaporizhia Oblast, Zaporizhia District, Petro-Mykhailivka Municipality)",AllentoftWillerslevNature2024; PosthKrauseNature2023,1,"10,000-5,000 BP",9,15,0.22798685729503632,48.123,35.098,europe,4669.089063623415
"Okunevo burials (Omsk Oblast, Muromtsevsky District, Okunevo Village)",AllentoftWillerslevNature2024; ZengReichNature2025,1,"10,000-5,000 BP",4,5,0.2295391857624054,56.4576194,74.8751083,asia,6936.777980440946
"Vovnihy-2 (Dnieperpetrovsk Oblast, Dnieper District, Solone Municipality)",AkbariReichNature2026; AllentoftWillerslevNature2024; LazaridisReichNature2025; PosthKrauseNature2023,1,"10,000-5,000 BP",11,44,0.2299843430519104,48.132999999999996,35.082,europe,4669.2378671454435
Heraklion (Crete),SkourtaniotiStockhammerNatEcolEvol2023,1,"10,000-5,000 BP",7,10,0.23050540685653687,35.2394569,24.988304800000005,europe,4391.124515360192
"Vlasac (Bor District, Majdanpek Municipality, Boljetin)",AkbariReichNature2026; AllentoftWillerslevNature2024; MarchiExcoffierCell2022; MathiesonReichNature2018,1,"10,000-5,000 BP",18,148,0.23075279593467712,44.533055,22.04991,europe,4323.051239273789
"Wanggou site (Henan, Yingyang County, Wanggou Village)",NingCuiNatComm2020,1,"10,000-5,000 BP",7,8,0.23178768157958984,34.8191841,113.39592300000001,asia,9973.027644450942
"Hajdučka-Vodenica (Bor District, Kladovo Municipality, Hajdučka)",AkbariReichNature2026; MathiesonReichNature2018,1,"10,000-5,000 BP",6,15,0.23201394081115723,44.640260000000005,22.30333,europe,4314.576751463408
"Glazkovo (Irkutsk Oblast, Irkutsk Municipality, Lokomotiv (Cyclodrome))",DamgaardWillerslevScience2018; KılınçGötherströmSciAdv2021,1,"10,000-5,000 BP",5,10,0.2321442812681198,52.28694399999999,104.24916699999999,asia,8756.79639298586
"Padina (Bor District, Majdanpek Municipality, Boljetin)",AkbariReichNature2026,1,"10,000-5,000 BP",6,15,0.23228545486927032,44.61000000000001,22.0,europe,4331.365481488389
"Shamanka-2 (Irkutsk Oblast, Slyudyansky District, Shamanka cape)",DamgaardWillerslevScience2018,1,"10,000-5,000 BP",10,45,0.2325494885444641,51.698333000000005,103.70305600000002,asia,8728.19202092433
"Murzikha-2 (Tatarstan, Alexeyevsky District, Mokrye Kurnali Village)",LazaridisReichNature2025; PosthKrauseNature2023; ZengReichNature2025,1,"10,000-5,000 BP",20,190,0.23273856937885284,55.341899999999995,50.01729999999999,asia,5640.635725152135
"Fofonovo (Buryatia, Kabansky District, Fofonovo Village)",AllentoftWillerslevNature2024; JeongWarinnerCell2020; ZengReichNature2025,1,"10,000-5,000 BP",9,33,0.23313426971435547,52.048428,106.766261,asia,8930.491102496055
"Yuzhny Oleniy Ostrov (Karelia Republic of, Medvezhyegorsky District, Velikaya Guba Village)",MathiesonReichNature2015; MittnikKrauseNatComm2018; PosthKrauseNature2023,1,"10,000-5,000 BP",18,129,0.2337784320116043,61.937725,35.260893,asia,6010.793887661044
"Zvejnieki (Burtnieki District, Vecates Parish)",AkbariReichNature2026; AllentoftWillerslevNature2024; JonesBradleyCurrBiol2017; LazaridisReichNature2025; MathiesonReichNature2018; ZengReichNature2025,1,"10,000-5,000 BP",23,253,0.2338024228811264,56.28330000000001,25.1333,europe,5410.692052470458
"Ust'-Ida (Irkutsk Oblast, Bokhanskiy District, Kamenka Village)",DamgaardWillerslevScience2018,1,"10,000-5,000 BP",4,6,0.23382362723350525,53.188889,103.368056,asia,8685.983168645686
"Ust'-Isha (Altai Krai, Krasnogorsky District, Ust'-Isha Village)",AllentoftWillerslevNature2024; RohlandReichGenomeRes2022; ZengReichNature2025,1,"10,000-5,000 BP",7,20,0.23414643108844757,52.163893000000016,85.960425,asia,7514.478805530549
"Vasilyevskiy kordon-17 (Lipetsk Oblast, Dobrovsky District)",AllentoftWillerslevNature2024,1,"10,000-5,000 BP",9,32,0.23445996642112732,52.9,40.03,asia,5096.303361098297
Donkalnis,MittnikKrauseNatComm2018; PosthKrauseNature2023,1,"10,000-5,000 BP",6,6,0.235491544008255,55.808,22.422,europe,5394.555678134612
"Sakhtysh-2a (Ivanovo Oblast, Teykovsky District, Sakhtysh Village)",AkbariReichNature2026; AllentoftWillerslevNature2024; LazaridisReichNature2025; ZengReichNature2025,1,"10,000-5,000 BP",23,253,0.2358361780643463,56.78400000000001,40.448660000000004,asia,5513.933010803011
"Maksimovka-1 (Samara Oblast, Neftegorsky District, Maksimovka Village)",LazaridisReichNature2025; ZengReichNature2025,1,"10,000-5,000 BP",4,6,0.2368738055229187,52.975772,51.113089,asia,5478.078865459129
"Het Klooster (Utrecht, Nieuwegein)",OlaldeReichNature2026,1,"10,000-5,000 BP",4,5,0.2371235489845276,52.02,5.124,europe,5820.852638596873
"Itkul (Bolshoy-Mys) (Altai Krai, Zonalny District, Vershinino Village)",AllentoftWillerslevNature2024; ZengReichNature2025,1,"10,000-5,000 BP",8,25,0.23815849423408508,52.721373,84.647693,asia,7434.6885473093025
"Borovyanka-17 (Omsk Oblast, Bolsherechensky District, Borovyanka Village)",AllentoftWillerslevNature2024; ZengReichNature2025,1,"10,000-5,000 BP",8,28,0.23871351778507233,55.756653,74.314006,asia,6875.275509263534
"Firsovo-11 (Altai Krai, Pervomaysky District, Firsovo Village)",ZengReichNature2025,1,"10,000-5,000 BP",10,45,0.2391948401927948,53.34101,83.93039,asia,7398.407922546265
"Chumysh-Perekat-1 (Altai Krai, Zalesovsky District)",ZengReichNature2025,1,"10,000-5,000 BP",5,10,0.23962843418121338,53.82419444,84.61233333,asia,7451.914981817934
"Sosnovy-Mys (Irkutsk Oblast, Ust-Ilimsky District, Kata, Sosnovy Island)",AllentoftWillerslevNature2024; RohlandReichGenomeRes2022; ZengReichNature2025,1,"10,000-5,000 BP",4,6,0.2396712303161621,58.7562,102.6317,asia,8596.921946200007
"Vengerovo-2 (Novosibirsk Oblast, Vengerovsky District)",AllentoftWillerslevNature2024,1,"10,000-5,000 BP",8,18,0.23981240391731262,55.707,76.783,asia,7018.002887114635
"Tuzovskie-Bugry-1 (Vasino-5) (Altai Krai, Pervomaysky District)",WangPosthCurrBiol2023; ZengReichNature2025,1,"10,000-5,000 BP",19,168,0.2400326430797577,53.15077399999999,83.822416,asia,7387.7193928709785
"Oberbipp Horgen (Bern, Wangen)",FurtwänglerHerbigBioTechniques2020,1,"10,000-5,000 BP",11,40,0.24031725525856018,47.262067,7.659835,europe,5458.359033750494
"La Mina (Castilla y León, Soria, Alcubilla de las Peñas)",AkbariReichNature2026; MathiesonReichNature2015,1,"10,000-5,000 BP",4,6,0.24177587032318115,41.2522,-2.32622,europe,6225.876018721406
"Vilnianka (Zaporizhia Oblast, Zaporizhia District, Vilniansk Municipality)",AkbariReichNature2026; AllentoftWillerslevNature2024; MathiesonReichNature2018,1,"10,000-5,000 BP",15,63,0.242141455411911,47.954299999999996,35.3893,europe,4668.07588649
"Ekaterinovskiy-Mys (Samara Oblast, Bezenchuksky District, Ekaterinovka Village)",AkbariReichNature2026; LazaridisReichNature2025,1,"10,000-5,000 BP",37,528,0.24215757846832275,53.08561099999999,49.465911,asia,5418.146725329303
"Golubaya-Krinitsa (Voronezh Oblast, Rossoshansky District, Golubaya Krinitsa Village)",AllentoftWillerslevNature2024; LazaridisReichNature2025,1,"10,000-5,000 BP",10,24,0.24267500638961792,50.091352799999996,39.8945111,asia,4800.7897598599075
"Yasynuvatka (Zaporizhia Oblast, Zaporizhia District, Petro-Mykhailivka Municipality)",MattilaJakobssonCommunBiol2023; NikitinReichNature2025,1,"10,000-5,000 BP",11,18,0.2434166669845581,48.121309,35.09017699999999,europe,4668.583924034684
"Ust'-Belaya (Irkutsk Oblast, Usolskiy District, Belaya River Mouth of the)",FlegontovSchiffelsNature2019; ZengReichNature2025,1,"10,000-5,000 BP",5,10,0.24395135045051575,52.9169,103.657,asia,8708.542966612893
"Ganj Dareh (Hamadan Province, Tuyserkan)",LazaridisReichNature2016; LazaridisReichNature2025; NarasimhanReichScience2019,1,"10,000-5,000 BP",8,21,0.2451332062482834,34.45,48.116,asia,4127.816412300883
"Deriivka (Kirovohrad Oblast, Oleksandriia District, Onufriivka Municipality)",AkbariReichNature2026; LazaridisReichNature2025; MathiesonReichNature2018; MattilaJakobssonCommunBiol2023; NikitinReichNature2025,1,"10,000-5,000 BP",33,456,0.24539288878440857,48.91422,33.76493,europe,4687.989128577214
"Cova de Els Trocs (Aragón, Huesca, Bisaurri)",AkbariReichNature2026; MathiesonReichNature2015; Villalba-MoucoHaakCurrBiol2019,1,"10,000-5,000 BP",7,21,0.2457737922668457,42.5,0.5,europe,5976.053368024014
