locality,publications,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon,region,migratory_distance_km
"Boismana-2 (Primorsky Krai, Khasansky District)",WangReichNature2021,1,"10,000-5,000 BP",18,101,0.225344,42.7894444,131.27611100000001,asia,10999.3
"Karavaikha (Vologda Oblast, Kirillovsky District, Karavaikha Village)",AllentoftWillerslevNature2024; PosthKrauseNature2023; SaagMetspaluSciAdv2021,1,"10,000-5,000 BP",9,36,0.226563,60.467835,38.900615,asia,5884.4
"Zhaodong on the northern bank of the Songhua River (Amur River Basin, southwest Heilongjiang Province, Songnen Plain)",MaoFuCell2021,1,"10,000-5,000 BP",12,45,0.227706,45.96,125.77999999999999,asia,10450.4
"Baligang (Nanyang, Dengzhou)",YangHuangNatCommun2025,1,"10,000-5,000 BP",42,711,0.227727,32.691667,112.13472199999998,asia,9953.7
"Vovnihy-1 (Zaporizhia Oblast, Zaporizhia District, Petro-Mykhailivka Municipality)",AllentoftWillerslevNature2024; PosthKrauseNature2023,1,"10,000-5,000 BP",9,15,0.227987,48.123,35.098,europe,4669.1
"Okunevo burials (Omsk Oblast, Muromtsevsky District, Okunevo Village)",AllentoftWillerslevNature2024; ZengReichNature2025,1,"10,000-5,000 BP",4,5,0.229539,56.4576194,74.8751083,asia,6936.8
"Vovnihy-2 (Dnieperpetrovsk Oblast, Dnieper District, Solone Municipality)",AkbariReichNature2026; AllentoftWillerslevNature2024; LazaridisReichNature2025; PosthKrauseNature2023,1,"10,000-5,000 BP",11,44,0.229984,48.132999999999996,35.082,europe,4669.2
Heraklion (Crete),SkourtaniotiStockhammerNatEcolEvol2023,1,"10,000-5,000 BP",7,10,0.230505,35.2394569,24.988304800000005,europe,4391.1
"Vlasac (Bor District, Majdanpek Municipality, Boljetin)",AkbariReichNature2026; AllentoftWillerslevNature2024; MarchiExcoffierCell2022; MathiesonReichNature2018,1,"10,000-5,000 BP",18,148,0.230753,44.533055,22.04991,europe,4323.1
"Wanggou site (Henan, Yingyang County, Wanggou Village)",NingCuiNatComm2020,1,"10,000-5,000 BP",7,8,0.231788,34.8191841,113.39592300000001,asia,9973.0
"Hajdučka-Vodenica (Bor District, Kladovo Municipality, Hajdučka)",AkbariReichNature2026; MathiesonReichNature2018,1,"10,000-5,000 BP",6,15,0.232014,44.640260000000005,22.30333,europe,4314.6
"Glazkovo (Irkutsk Oblast, Irkutsk Municipality, Lokomotiv (Cyclodrome))",DamgaardWillerslevScience2018; KılınçGötherströmSciAdv2021,1,"10,000-5,000 BP",5,10,0.232144,52.28694399999999,104.24916699999999,asia,8756.8
"Padina (Bor District, Majdanpek Municipality, Boljetin)",AkbariReichNature2026,1,"10,000-5,000 BP",6,15,0.232285,44.61000000000001,22.0,europe,4331.4
"Shamanka-2 (Irkutsk Oblast, Slyudyansky District, Shamanka cape)",DamgaardWillerslevScience2018,1,"10,000-5,000 BP",10,45,0.232549,51.698333000000005,103.70305600000002,asia,8728.2
"Murzikha-2 (Tatarstan, Alexeyevsky District, Mokrye Kurnali Village)",LazaridisReichNature2025; PosthKrauseNature2023; ZengReichNature2025,1,"10,000-5,000 BP",20,190,0.232739,55.341899999999995,50.01729999999999,asia,5640.6
"Fofonovo (Buryatia, Kabansky District, Fofonovo Village)",AllentoftWillerslevNature2024; JeongWarinnerCell2020; ZengReichNature2025,1,"10,000-5,000 BP",9,33,0.233134,52.048428,106.766261,asia,8930.5
"Yuzhny Oleniy Ostrov (Karelia Republic of, Medvezhyegorsky District, Velikaya Guba Village)",MathiesonReichNature2015; MittnikKrauseNatComm2018; PosthKrauseNature2023,1,"10,000-5,000 BP",18,129,0.233778,61.937725,35.260893,asia,6010.8
"Zvejnieki (Burtnieki District, Vecates Parish)",AkbariReichNature2026; AllentoftWillerslevNature2024; JonesBradleyCurrBiol2017; LazaridisReichNature2025; MathiesonReichNature2018; ZengReichNature2025,1,"10,000-5,000 BP",23,253,0.233802,56.28330000000001,25.1333,europe,5410.7
"Ust'-Ida (Irkutsk Oblast, Bokhanskiy District, Kamenka Village)",DamgaardWillerslevScience2018,1,"10,000-5,000 BP",4,6,0.233824,53.188889,103.368056,asia,8686.0
"Ust'-Isha (Altai Krai, Krasnogorsky District, Ust'-Isha Village)",AllentoftWillerslevNature2024; RohlandReichGenomeRes2022; ZengReichNature2025,1,"10,000-5,000 BP",7,20,0.234146,52.163893000000016,85.960425,asia,7514.5
"Vasilyevskiy kordon-17 (Lipetsk Oblast, Dobrovsky District)",AllentoftWillerslevNature2024,1,"10,000-5,000 BP",9,32,0.23446,52.9,40.03,asia,5096.3
Donkalnis,MittnikKrauseNatComm2018; PosthKrauseNature2023,1,"10,000-5,000 BP",6,6,0.235492,55.808,22.422,europe,5394.6
"Sakhtysh-2a (Ivanovo Oblast, Teykovsky District, Sakhtysh Village)",AkbariReichNature2026; AllentoftWillerslevNature2024; LazaridisReichNature2025; ZengReichNature2025,1,"10,000-5,000 BP",23,253,0.235836,56.78400000000001,40.448660000000004,asia,5513.9
"Maksimovka-1 (Samara Oblast, Neftegorsky District, Maksimovka Village)",LazaridisReichNature2025; ZengReichNature2025,1,"10,000-5,000 BP",4,6,0.236874,52.975772,51.113089,asia,5478.1
"Het Klooster (Utrecht, Nieuwegein)",OlaldeReichNature2026,1,"10,000-5,000 BP",4,5,0.237124,52.02,5.124,europe,5820.9
