master_id1,master_id2,genetic_id1,genetic_id2,site_overlap,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2
GLN210,GLN276,GLN210.AG.SG,GLN276.AG,30475,0.136965,0.136965,0.136965,RivollatNature2023,RivollatNature2023,GLN210,GLN276,5300-3900 BCE,5300-3900 BCE,France_N.AG.SG,France_N_1d.rel.GLN325_father.or.son.GLN275.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
GLN220,GLN321,GLN220.AG.SG,GLN321.AG,30880,0.137209,0.137209,0.137209,RivollatNature2023,RivollatNature2023,GLN220,GLN321,"4542-4363 calBCE (5635±35 BP, Lyon-4680 )",5300-3900 BCE,France_N.AG.SG,France_N.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
LEPE48,GLN210,LEPE48.SG,GLN210.AG.SG,34146,0.137234,0.137234,0.137234,MarchiExcoffierCell2022,RivollatNature2023,"(Lepenski-Vir, burial 122)",GLN210,"6064-5919 calBCE (7122±31 BP) [R_combine: (7190±45 BP, [FRE:7115±46 BP], OxA-16005) (7190±40 BP, [7127±41 BP], OxA-16006)]",5300-3900 BCE,Serbia_LepenskiVir_EN.SG,France_N.AG.SG,"Lepenski-Vir (Bor District, Majdanpek Municipality, Boljetin)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Serbia,France
GLN220,GLN322,GLN220.AG.SG,GLN322.AG,30108,0.137339,0.137339,0.137339,RivollatNature2023,RivollatNature2023,GLN220,GLN322,"4542-4363 calBCE (5635±35 BP, Lyon-4680 )",5300-3900 BCE,France_N.AG.SG,France_N.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
GLN245A,GLN256,GLN245A.AG,GLN256.AG.SG,34647,0.137414,0.137414,0.137414,RivollatNature2023,RivollatNature2023,GLN245A,GLN256,5300-3900 BCE,5300-3900 BCE,France_N_father.or.son.GLN245B.AG,France_N.AG.SG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
PB675,GLN210,PB675.SG,GLN210.AG.SG,34275,0.137505,0.137505,0.137505,CassidyNature2020,RivollatNature2023,"Parknabinnia CL153, Context 397, Find 675.02",GLN210,"3362-3102 calBCE (4527±27 BP) [R_combine: (4394±35 BP, UBA-35064;), (4707±42 BP, UBA-39194)]",5300-3900 BCE,Ireland_MN.SG,France_N.AG.SG,Parknabinnia (County Clare),"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Ireland,France
R4,GLN227,R4.SG,GLN227.AG.SG,32774,0.137548,0.137548,0.137548,AntonioGaoMootsScience2019,RivollatNature2023,Grotta Continenza - Rimosso,GLN227,"2906-2880 calBCE (4260±15 BP, UCIAMS-198576)",5300-3900 BCE,Italy_South_C.SG,France_N.AG.SG,"Grotta Continenza (Abruzzo, L'Aquila)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Italy,France
GLN243A,GLN322,GLN243A.AG.SG,GLN322.AG,32271,0.137585,0.137585,0.137585,RivollatNature2023,RivollatNature2023,GLN243A,GLN322,"4840-4615 calBCE (5870±40 BP, Lyon-4444 )",5300-3900 BCE,France_N.AG.SG,France_N.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
KH150623,GLN210,KH150623.SG,GLN210.AG.SG,34139,0.137614,0.137614,0.137614,ImmelCommBiol2021,RivollatNature2023,NT135,GLN210,3500-2800 BCE,5300-3900 BCE,Germany_Wartberg_LN_brother.KH150622.KH150620.SG,France_N.AG.SG,"Niedertiefenbach (Rheinland-Pfalz, Koblenz, Rhein-Lahn-Kreis)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Germany,France
GLN220,GLN265,GLN220.AG.SG,GLN265.AG,32856,0.137692,0.137692,0.137692,RivollatNature2023,RivollatNature2023,GLN220,GLN265,"4542-4363 calBCE (5635±35 BP, Lyon-4680 )",5300-3900 BCE,France_N.AG.SG,France_N_father.or.son.GLN235_1d.rel.GLN325.GLN266.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
GLN260,GLN299,GLN260.AG,GLN299.AG.SG,30687,0.137811,0.137811,0.137811,RivollatNature2023,RivollatNature2023,GLN260,GLN299,5300-3900 BCE,5300-3900 BCE,France_N_brother.GLN241_1d.rel.GLN319.AG,France_N.AG.SG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
2H11,GLN210,2H11.SG,GLN210.AG.SG,34261,0.137824,0.137824,0.137824,SeguinOrlandoCurrBio2021,RivollatNature2023,2H11_Ages_2_6343,GLN210,"3351-3102 calBCE (4510±20 BP, UCAIMS-224908)",5300-3900 BCE,France_MontAime_MLN_oHG1.SG,France_N.AG.SG,"Mont-Aimé-hypogée-2 (Grand Est Region, Marne Department, Épernay arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
GLN210,I2520,GLN210.AG.SG,I2520.SG,33684,0.13784,0.13784,0.13784,RivollatNature2023,RohlandMallickGenomeResearch2022 (deep shotgun version of individual originally reported in MathiesonNature2018),GLN210,G5 (Grave 5),5300-3900 BCE,"3331-3025 calBCE (4458±18 BP) [R_combine: (4470±25 BP, PSUAMS-1814), (4445±25 BP, PSUAMS-8955)]",France_N.AG.SG,Bulgaria_Dzhulyunitsa_EBA.SG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Dzhulyunitsa (Veliko Tarnovo province, Lyaskovets municipality)",France,Bulgaria
Pta08,GLN210,Pta08.SG,GLN210.AG.SG,31728,0.137922,0.137922,0.137922,ClementeCell2021,RivollatNature2023,Pta08,GLN210,2600-2000 BCE,5300-3900 BCE,Greece_Crete_Kephala_Petras.SG,France_N.AG.SG,"Kephala Petras Siteias (eastern Crete, Petras)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Greece,France
GLN227,KO1,GLN227.AG.SG,I1507.SG,35330,0.138098,0.138098,0.138098,RivollatNature2023,RohlandMallickGenomeResearch2022 (deep shotgun version of individual originally reported in GambaNatureCommunications2014 then MathiesonNature2018),GLN227,"HUNG345a, KO1",5300-3900 BCE,"5788-5640 calBCE (6835±34 BP, OxA-23757)",France_N.AG.SG,Hungary_EN_Koros_oMesolithic_oKO1.SG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Tiszaszőlős-Domaháza_unknown-site-2 (Jász-Nagykun-Szolnok County, Tiszafüred)",France,Hungary
GLN243A,GLN257,GLN243A.AG.SG,GLN257.AG,38147,0.138228,0.138228,0.138228,RivollatNature2023,RivollatNature2023,GLN243A,GLN257,"4840-4615 calBCE (5870±40 BP, Lyon-4444 )","4842-4551 calBCE (5855±55 BP, Lyon-5881)",France_N.AG.SG,France_N.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
LEPE48,GLN227,LEPE48.SG,GLN227.AG.SG,35409,0.138242,0.138242,0.138242,MarchiExcoffierCell2022,RivollatNature2023,"(Lepenski-Vir, burial 122)",GLN227,"6064-5919 calBCE (7122±31 BP) [R_combine: (7190±45 BP, [FRE:7115±46 BP], OxA-16005) (7190±40 BP, [7127±41 BP], OxA-16006)]",5300-3900 BCE,Serbia_LepenskiVir_EN.SG,France_N.AG.SG,"Lepenski-Vir (Bor District, Majdanpek Municipality, Boljetin)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Serbia,France
I30421,GLN210,I30421.TW,GLN210.AG.SG,30054,0.138451,0.138451,0.138451,GelabertBioRxiv2023,RivollatNature2023,E617,GLN210,"5205-4847 calBCE (6075±35 BP, VERA-2008)",5300-3900 BCE,Austria_N_LBK.TW,France_N.AG.SG,"Asparn Schletz (Niederösterreich, Mistelbach)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Austria,France
RKF051,RKF277,RKF051.AG,RKF277.AG,58133,0.138476,0.138476,0.138476,GnecchiRusconeNature2024,GnecchiRusconeNature2024,RKF051,RKF277,580-804 CE,580-804 CE,Hungary_Avar.AG,Hungary_Avar.AG,"Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)","Rákóczifalva-Bagi-földek (Jász-Nagykun-Szolnok Coiunty, Szolnok)",Hungary,Hungary
GLN210,FRA005,GLN210.AG.SG,FRA005.SG,34043,0.138501,0.138501,0.138501,RivollatNature2023,SeersholmSikoraNature2024,GLN210,CGG100053,5300-3900 BCE,3093-2924 calBCE (4400±20 BP; UCIAMS-259740),France_N.AG.SG,Sweden_Fralsegarden_N.SG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Frälsegården,France,Sweden
I30423,GLN227,I30423.TW,GLN227.AG.SG,31962,0.138508,0.138508,0.138508,GelabertBioRxiv2023,RivollatNature2023,E618,GLN227,5300-5000 BCE,5300-3900 BCE,Austria_N_LBK.TW,France_N.AG.SG,"Asparn Schletz (Niederösterreich, Mistelbach)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Austria,France
KFP-6,KUP003,KFP-6.SG,KUP003.AG,583703,0.138634,0.138634,0.138634,MarotiTorokCurrBio2022,GnecchiRusconeNature2024,KFPper6(6),Kunp_06,630-660 CE,580-670 CE,Hungary_EarlyAvar_Elite.SG,Hungary_EarlyAvar.AG,"Kunpeszér-Felsőpeszériút-Homokbánya (Pest County, Dabas)",Kunpeszér-Felsőpeszéri út (Bács-Kiskun County),Hungary,Hungary
GLN285B,GLN299,GLN285B.AG,GLN299.AG.SG,30668,0.138744,0.138744,0.138744,RivollatNature2023,RivollatNature2023,GLN285B,GLN299,5300-3900 BCE,5300-3900 BCE,France_N_1d.rel.GLN285A.AG,France_N.AG.SG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
GLN220,GLN250,GLN220.AG.SG,GLN250.AG,30485,0.138757,0.138757,0.138757,RivollatNature2023,RivollatNature2023,GLN220,GLN250,"4542-4363 calBCE (5635±35 BP, Lyon-4680 )","5030-4795 calBCE (6020±45 BP, Lyon-5876)",France_N.AG.SG,France_N.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
GLN206,GLN287,GLN206.AG,GLN287.AG.SG,30961,0.138852,0.138852,0.138852,RivollatNature2023,RivollatNature2023,GLN206,GLN287,5300-3900 BCE,5300-3900 BCE,France_N.AG,France_N.AG.SG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
GLN256,GLN260,GLN256.AG.SG,GLN260.AG,30600,0.138889,0.138889,0.138889,RivollatNature2023,RivollatNature2023,GLN256,GLN260,5300-3900 BCE,5300-3900 BCE,France_N.AG.SG,France_N_brother.GLN241_1d.rel.GLN319.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France
I1583,GLN210,I1583.AG,GLN210.AG.SG,30461,0.138932,0.138932,0.138932,LazaridisAlpaslanRoodenbergScience2022 (higher coverage of previously reported individual from MathiesonNature2015),RivollatNature2023,L14-200,GLN210,"6424-6233 calBCE (7460±50 BP, Poz-82231)",5300-3900 BCE,Turkey_Marmara_Barcin_N.AG,France_N.AG.SG,"Barcın-Höyük (Bursa, Yenişehir)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",Turkey,France
