master_id1,master_id2,genetic_id1,genetic_id2,site_overlap,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,lat1,lon1,lat2,lon2,annotation,notes
I9054,JBT015,I9054_d.AG,JBT015.AG,58493,0.100867,0.098452,0.103334,PosthNakatsukaCell2018,FerrazNatEcoEvo2023,"MPI 21 (Burial 111/112, non-pathological)",JBT015,"364-107 calBCE (2203±24 BP, MAMS-28365)","364-107 calBCE (2203±24, MAMS-28365)",Brazil_SC_S_JAB_LH_HG_2200BP.AG,Brazil_JabuticabeiraII_Sambaqui_2200BP.AG,"Jabuticabeira Shell Midden II (South Santa Catarina, Jaguaruna)",Jabuticabeira II (South Coast),Brazil,Brazil,-28.55,-49.005833,-28.58,-48.99,diff_pub;unidentified_in_pub,potential same archaeological sites in supplements;only radiocarbon date is mentioned as previously published
S10_S13,S10,S10_S13.AG,S10.SG,1049775,0.101728,0.101152,0.102308,LiuJeongNatComm2022,JeongPNAS2016,S10_S13,S10,"350-1000 CE [Layer Date: (407-535 calCE (1630±15 BP, UCIAMS-129229/PSU-5665)), (429-546 calCE (1580±20 BP, UCIAMS128464/PSU-5653)), (436-581 calCE (1545±15 BP, UCIAMS-171150)), (441-597 calCE (1532±17 BP, MAMS-39279)), (443-598 calCE (1530±17 BP, MAMS-30277)), (542-604 calCE (1508±20 BP, MAMS-37903)), (543-634 calCE (1502±21 BP, MAMS37904)), (594-650 calCE (1440±20 BP, UCIAMS-128463/PSU-5652)), (607-663 calCE (1395±15 BP, UCIAMS-174148)), (609-664 calCE (1390±15 BP, UCIAMS-171149)), (605-675 calCE (1380±25 BP, UCIAMS-87444/PSU-4675)), (646-671 calCE (1365±15 BP, UCIAMS-173181)), (612-773 calCE (1360±25 BP, UCIAMS-87445/PSU-4676)), (650-773 calCE (1341±17 BP, MAMS-39278)), (673-773 calCE (1281±17 BP, MAMS-39280)), (661-775 calCE (1304±17 BP, MAMS-39281)), (772-951 calCE (1165±15 BP, UCIAMS-129230/PSU-5666))]",200-700 CE,Nepal_Mustang_Samdzong_MiddleKingdoms.AG,Nepal_Samdzong_1500BP.SG,Samdzong (Mustang District),Samdzong Tomb (Mustang District),Nepal,Nepal,29.28,84.03,29.28,84.03,same_pub;apparent_typo,
KD-29,KD-29_OBH-52_twins,KD-29.SG,KD-29_OBH-52_twinmerge.SG,1039585,0.103276,0.102692,0.103862,MarotiTorokCurrBio2022,MarotiTorokCurrBio2022,KDper29(8451;29),OBHper52(7161;52),"656-774 calCE (1321±17 BP, DeA-26547)",700-800 CE,Hungary_MidLateEarlyAvar_twin.OBH52.SG,Hungary_MidLateEarlyAvar.SG,"Kaba-Dögös (Hajdú-Bihar County, Hajdúszoboszló)","Orosháza-Béketsz-Homokbánya (Békés County, Orosháza)",Hungary,Hungary,47.40403,21.39053,46.59992,20.73842,same_pub;diff_site;identified_in_pub_as_identical_twins;identified_in_aadr_id_as_identical_twins,
CAO015,CAO018,CAO015.AG,CAO018.AG,36862,0.10344,0.100372,0.10659,NagelePosthScience2020,NagelePosthScience2020,E104,E111,"1263-1118 calBCE (2967±20 BP, MAMS-44070)",1300-1100 BCE,Cuba_PreCeramic.AG,Cuba_PreCeramic_dup.or.1d.rel.CAO015.AG,"Canimar Abajo (Northwestern Cuba, Matanzas)","Canimar Abajo (Northwestern Cuba, Matanzas)",Cuba,Cuba,23.038,-81.497,23.038,-81.497,same_pub;unidentified_in_pub;identified_in_aadr_group_id,
OBH-52,KD-29_OBH-52_twins,OBH-52.SG,KD-29_OBH-52_twinmerge.SG,1041691,0.103765,0.103181,0.104352,MarotiTorokCurrBio2022,MarotiTorokCurrBio2022,OBHper52(7161;52),OBHper52(7161;52),700-800 CE,700-800 CE,Hungary_MidLateEarlyAvar.SG,Hungary_MidLateEarlyAvar.SG,"Orosháza-Béketsz-Homokbánya (Békés County, Orosháza)","Orosháza-Béketsz-Homokbánya (Békés County, Orosháza)",Hungary,Hungary,46.59992,20.73842,46.59992,20.73842,same_pub;identified_in_pub_as_identical_twins;potential_aadr_skeletal_code_match,
HGDP00542,HGDP00551,HGDP00542.DG,A_Papuan-16.DG,1138934,0.104082,0.103522,0.104644,BergstromScience2020,MeyerScience2012,S_Papuan-9,..,present,present,Ignore_Papuan_discovery.DG,Ignore_Papuan(discovery).DG,"Iatmul and Kwoma societies (New Guinea, Middle Sepik River region)","Iatmul and Kwoma societies (New Guinea, Middle Sepik River region)",Papua New Guinea,Papua New Guinea,-4.0,143.0,-4.0,143.0,diff_pub;unidentified_in_pub,
YCH033,YCH054,YCH033.AG,YCH054.AG,905443,0.107544,0.106908,0.108184,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH033,YCH054,891-995 calCE (1100±22 BP; MAMS-35821),892-1016 calCE (1091±23 BP; MAMS-35828),Mexico_ChichenItza_MayaLowlands_LClassic.AG,Mexico_ChichenItza_MayaLowlands_LClassic.AG,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,20.683056,-88.568611,20.683056,-88.568611,same_pub;identified_in_pub_as_identical_twins,
GRG041,GLN276,GRG041.AG,GLN276.AG,563361,0.10756,0.106753,0.108372,RivollatScienceAdvance2020,RivollatNature2023,GLN 276,GLN276,5000-4000 BCE,5300-3900 BCE,France_MN_father.or.son.GLN275_1d.rel.GLN325.AG,France_N_1d.rel.GLN325_father.or.son.GLN275.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France,47.97,3.56,47.872,3.559,gurgy;diff_pub;identified_in_pub;potential_aadr_skeletal_code_match,
NEO241,I7346,NEO241.SG,I7346.AG,241731,0.107756,0.106526,0.108998,SikoraNature2019,FlegontovNature2019 merged with HarneyCheronetGenomeResearch2021,NEO241,"Mos94 [(Specimen 11, 157) | (MDE, FR15120039) | (WTR, FR15120067)]","101 calBCE - 117 calCE (2014±35 BP, UBA-34049)","620-990 calCE (2050±15 BP, PSUAMS-4836)",Russia_Ekven_OldBeringSea.SG,Russia_Ekven_OldBeringSea.AG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,66.121383,-170.46034,66.121383,-170.46034,diff_pub;unidentified_in_pub,
PDI010,PI-51,PDI010.AG,PI-51.WGC,87725,0.10778,0.105745,0.109849,NagelePosthScience2020,Nieves-ColonMolecularBiologyandEvolution2020,51,PI-51,"994-1163 calCE (973±41 BP, AA-75123)",994-1163 calCE (973±41 BP),PuertoRico_Ceramic.AG,PuertoRico_Ceramic.WGC,Paso del Indio (Vega Baja),Paso del Indio (Vega Baja),Puerto Rico,Puerto Rico,18.45239,-66.3991,18.45239,-66.3991,diff_pub;unidentified_in_pub;potential_aadr_skeletal_code_match,
