individual_id,genetic_id1,genetic_id2,site_overlap,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,lat1,lon1,lat2,lon2
KPT002,KPT002.SG,KPT002_alt.SG,212792,0.239967,0.238157,0.241786,YuKrauseCell2020,YuKrauseCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,53.044528,105.510583,53.044528,105.510583
KPT002,KPT002.SG,KPT002_alt.AG.SG,514512,0.239847,0.238682,0.241015,YuKrauseCell2020,YuKrauseCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,53.044528,105.510583,53.044528,105.510583
LEO056,LEO056_alt2.AG,LEO056_alt5.AG,121039,0.22363,0.221292,0.225987,WangHofmanováNature2025,WangHofmanováNature2025,no information (LEO056),no information (LEO101),650-800 CE,650-800 CE,Austria_Avar,Austria_Avar,"Leobersdorf (Lower Austria, Baden District)","Leobersdorf (Lower Austria, Baden District)",Austria,Austria,47.916667,16.216667,47.916667,16.216667
LEO056,LEO056.AG,LEO056_alt5.AG,118797,0.223364,0.221005,0.225742,WangHofmanováNature2025,WangHofmanováNature2025,no information (LEO056),no information (LEO101),650-800 CE,650-800 CE,Austria_Avar-1,Austria_Avar,"Leobersdorf (Lower Austria, Baden District)","Leobersdorf (Lower Austria, Baden District)",Austria,Austria,47.916667,16.216667,47.916667,16.216667
LEO056,LEO056_alt1.AG,LEO056_alt2.AG,98383,0.221207,0.218624,0.223811,WangHofmanováNature2025,WangHofmanováNature2025,no information (LEO101),no information (LEO056),650-800 CE,650-800 CE,Austria_Avar-1,Austria_Avar,"Leobersdorf (Lower Austria, Baden District)","Leobersdorf (Lower Austria, Baden District)",Austria,Austria,47.916667,16.216667,47.916667,16.216667
LEO056,LEO056.AG,LEO056_alt1.AG,96598,0.220667,0.218063,0.223293,WangHofmanováNature2025,WangHofmanováNature2025,no information (LEO056),no information (LEO101),650-800 CE,650-800 CE,Austria_Avar-1,Austria_Avar-1,"Leobersdorf (Lower Austria, Baden District)","Leobersdorf (Lower Austria, Baden District)",Austria,Austria,47.916667,16.216667,47.916667,16.216667
I7342,I7342_alt1.SG,I7342.AG,208255,0.219255,0.217483,0.221037,SikoraWillerslevNature2019,HarneyPinhasiGenomeRes2021,"Specimen 167, 189 (Mos92)","Specimen 167, 189 (Mos92)","970-1210 calCE (1760±15 BP, PSUAMS-5476)","970-1210 calCE (1760±15 BP, PSUAMS-5476)",Russia_Chukotka_EarlyModern_OldBeringSea,Russia_Chukotka_EarlyModern_OldBeringSea,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,66.121383,-170.460341,66.121383,-170.460341
I7342,I7342_alt1.SG,I7342.SG,207624,0.215625,0.213862,0.2174,SikoraWillerslevNature2019,SikoraWillerslevNature2019,"Specimen 167, 189 (Mos92)","Specimen 10, 156 (Mos91)","970-1210 calCE (1760±15 BP, PSUAMS-5476)","970-1210 calCE (1760±15 BP, PSUAMS-5476)",Russia_Chukotka_EarlyModern_OldBeringSea,Russia_Chukotka_EarlyModern_OldBeringSea,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,66.121383,-170.460341,66.121383,-170.460341
LEO056,LEO056_d.AG,LEO056_alt5.AG,51041,0.215062,0.211519,0.218648,WangHofmanováNature2025,WangHofmanováNature2025,no information (LEO056),no information (LEO101),650-800 CE,650-800 CE,Austria_Avar,Austria_Avar,"Leobersdorf (Lower Austria, Baden District)","Leobersdorf (Lower Austria, Baden District)",Austria,Austria,47.916667,16.216667,47.916667,16.216667
YCH017,YCH017.AG,YCH017_alt2.AG,586505,0.212469,0.211424,0.213518,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH041,YCH059,550-1200 CE,550-1200 CE,Mexico_LateClassic,Mexico_LateClassic,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,20.683056,-88.568611,20.683056,-88.568611
