master_id1,master_id2,genetic_id1,genetic_id2,site_overlap,site_mismatches,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,annotation,notes
HGDP00542,HGDP00551,S_Papuan-9.DG,HGDP00551.DG,1108935,111127.0,0.100211,0.099652,0.100771,SkoglundNature2015,BergstromScience2020,S_Papuan-9,..,present,present,Ignore_Papuan_discovery.DG,Ignore_Papuan(discovery).DG,"Iatmul and Kwoma societies (New Guinea, Middle Sepik River region)","Iatmul and Kwoma societies (New Guinea, Middle Sepik River region)",Papua New Guinea,Papua New Guinea,diff_pub;unidentified_in_pub,
KD-29,KD-29_OBH-52_twins,KD-29.SG,KD-29_OBH-52_twinmerge.SG,1082273,110422.0,0.102028,0.101458,0.1026,MarotiTorokCurrBio2022,MarotiTorokCurrBio2022,KDper29(8451;29),OBHper52(7161;52),"656-774 calCE (1321±17 BP, DeA-26547)",700-800 CE,Hungary_MidLateEarlyAvar_twin.OBH52.SG,Hungary_MidLateEarlyAvar.SG,"Kaba-Dögös (Hajdú-Bihar County, Hajdúszoboszló)","Orosháza-Béketsz-Homokbánya (Békés County, Orosháza)",Hungary,Hungary,same_pub;diff_site;identified_in_pub_as_identical_twins;identified_in_aadr_id_as_identical_twins,
CAO015,CAO018,CAO015.AG,CAO018.AG,38161,3904.0,0.102303,0.09928,0.105387,NagelePosthScience2020,NagelePosthScience2020,E104,E111,"1263-1118 calBCE (2967±20 BP, MAMS-44070)",1300-1100 BCE,Cuba_PreCeramic.AG,Cuba_PreCeramic_dup.or.1d.rel.CAO015.AG,"Canimar Abajo (Northwestern Cuba, Matanzas)","Canimar Abajo (Northwestern Cuba, Matanzas)",Cuba,Cuba,same_pub;unidentified_in_pub;identified_in_aadr_group_id,
OBH-52,KD-29_OBH-52_twins,OBH-52.SG,KD-29_OBH-52_twinmerge.SG,1084752,111199.0,0.102511,0.101941,0.103083,MarotiTorokCurrBio2022,MarotiTorokCurrBio2022,OBHper52(7161;52),OBHper52(7161;52),700-800 CE,700-800 CE,Hungary_MidLateEarlyAvar.SG,Hungary_MidLateEarlyAvar.SG,"Orosháza-Béketsz-Homokbánya (Békés County, Orosháza)","Orosháza-Béketsz-Homokbánya (Békés County, Orosháza)",Hungary,Hungary,same_pub;identified_in_pub_as_identical_twins;potential_aadr_skeletal_code_match,
YCH033,YCH054,YCH033.AG,YCH054.AG,947230,97521.0,0.102954,0.102343,0.103568,BarqueraKrauseNature2024,BarqueraKrauseNature2024,YCH033,YCH054,891-995 calCE (1100±22 BP; MAMS-35821),892-1016 calCE (1091±23 BP; MAMS-35828),Mexico_ChichenItza_MayaLowlands_LClassic.AG,Mexico_ChichenItza_MayaLowlands_LClassic.AG,Chichén Itzá (Yucatán),Chichén Itzá (Yucatán),Mexico,Mexico,same_pub;identified_in_pub_as_identical_twins,
GRG041,GLN276,GRG041.AG,GLN276.AG,588632,60684.0,0.103093,0.102318,0.103873,RivollatScienceAdvance2020,RivollatNature2023,GLN 276,GLN276,5000-4000 BCE,5300-3900 BCE,France_MN_father.or.son.GLN275_1d.rel.GLN325.AG,France_N_1d.rel.GLN325_father.or.son.GLN275.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France,gurgy;diff_pub;identified_in_pub;potential_aadr_skeletal_code_match,
UC12_25,UC12-25,UC12_25.SG,UC12-25.SG,952255,98803.0,0.103757,0.103145,0.104371,BongersPNAS2020,BongersPNAS2020,UC12_25,UC12-25,1250-1500 CE,1400-1500 CE,Peru_Chincha_LH.SG,Peru_Chincha_LH.SG,Chincha,SouthCoast,Peru,Peru,chincha;same_pub;apparent_typo,
HGDP00542,HGDP00551,HGDP00542.DG,A_Papuan-16.DG,1138934,118542.5,0.104082,0.103522,0.104644,BergstromScience2020,MeyerScience2012,S_Papuan-9,..,present,present,Ignore_Papuan_discovery.DG,Ignore_Papuan(discovery).DG,"Iatmul and Kwoma societies (New Guinea, Middle Sepik River region)","Iatmul and Kwoma societies (New Guinea, Middle Sepik River region)",Papua New Guinea,Papua New Guinea,diff_pub;unidentified_in_pub,
NEO241,I7346,NEO241.SG,I7346.AG,249546,26119.0,0.104666,0.103468,0.105874,SikoraNature2019,FlegontovNature2019 merged with HarneyCheronetGenomeResearch2021,NEO241,"Mos94 [(Specimen 11, 157) | (MDE, FR15120039) | (WTR, FR15120067)]","101 calBCE - 117 calCE (2014±35 BP, UBA-34049)","620-990 calCE (2050±15 BP, PSUAMS-4836)",Russia_Ekven_OldBeringSea.SG,Russia_Ekven_OldBeringSea.AG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,diff_pub;unidentified_in_pub,
PDI010,PI-51,PDI010.AG,PI-51.WGC,90560,9524.0,0.105168,0.103177,0.107184,NagelePosthScience2020,Nieves-ColonMolecularBiologyandEvolution2020,51,PI-51,"994-1163 calCE (973±41 BP, AA-75123)",994-1163 calCE (973±41 BP),PuertoRico_Ceramic.AG,PuertoRico_Ceramic.WGC,Paso del Indio (Vega Baja),Paso del Indio (Vega Baja),Puerto Rico,Puerto Rico,diff_pub;unidentified_in_pub;potential_aadr_skeletal_code_match,
