individual_id1,individual_id2,genetic_id1,genetic_id2,site_overlap,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,lat1,lon1,lat2,lon2
I1964,NEO64,I1964.AG,NEO64.SG,331213,0.120158,0.119055,0.12127,ZengReichNature2025,AllentoftWillerslevNature2024,N3259 (Tomsk13),"CGG_2_015781 (TSU_3259, Itkul (Bolshoy-Mys), burial 8)",4650-4342 calBCE,"4706-4463 calBCE (5744±41 BP, UBA-39941)",Russia_AltaiKrai_N_Bolshemys,Russia_AltaiKrai_LN,"Itkul (Bolshoy-Mys) (Altai Krai, Zonalny District, Vershinino Village)","Itkul (Bolshoy-Mys) (Altai Krai, Zonalny District, Vershinino Village)",Russia,Russia,52.721373,84.647693,52.721373,84.647693
I12961,NEO199,I12961.AG,NEO199.SG,406875,0.120305,0.119309,0.121308,ZengReichNature2025,AllentoftWillerslevNature2024,"exc. 4; gr. 10, ИЭ-51-3. Фофоновo. Чйчи 4 погр. 2 (MOS283, 688)","CGG_2_017442|N25 (Fofonovo, excavation 4, burial 10)","5883-5720 calBCE (6905±35 BP, PSUAMS-13169)","5989-5785 calBCE (7011±41 BP, UBA-40008)",Russia_Buryatia_N,Russia_Buryatia_N,"Fofonovo (Buryatia, Kabansky District, Fofonovo Village)","Fofonovo (Buryatia, Kabansky District, Fofonovo Village)",Russia,Russia,52.048428,106.766261,52.048428,106.766261
I6829,NEO80,I6829.AG,NEO80.SG,267370,0.120447,0.119219,0.121687,ZengReichNature2025,AllentoftWillerslevNature2024,TYUMEN10 (78-19),"CGG_2_015797 (IPOS_RAS_78-19, Borovyanka-17, burial 83, ind. 2, skull F)",3000-2000 BCE,"3641-3376 calBCE (4757±54 BP, UBA-39952)",Russia_Omsk_Eneolithic_Chernoozersky,Russia_Omsk_Eneolithic,"Borovyanka-17 (Omsk Oblast, Bolsherechensky District, Borovyanka Village)","Borovyanka-17 (Omsk Oblast, Bolsherechensky District, Borovyanka Village)",Russia,Russia,55.756653,74.314006,55.756653,74.314006
NEO65,I20312,NEO65.SG,I20312.AG,471988,0.120569,0.119643,0.121501,AllentoftWillerslevNature2024,ZengReichNature2025,"CGG_2_015782 (TSU_3324, Kostenkova-Izbushka, burial 5)",TGU 3324,"3359-3099 calBCE (4516±33 BP, UBA-39942)",5100-4000 BCE,Russia_AltaiKrai_N,Russia_AltaiKrai_N_Itkul,"Kostenkova-Izbushka (Altai Krai, Zonalny District, Vershinino Village)","Kostenkova-Izbushka (Altai Krai, Zonalny District, Vershinino Village)",Russia,Russia,52.7087,84.7077,52.7087,84.7077
JinlianshanM29_2_4,JinlianshanM29_2_4_sg,JinlianshanM29_2_4.AG,JinlianshanM29_2_4_sg.SG,626346,0.121465,0.120658,0.122276,WangFuScience2025,WangFuScience2025,JinlianshanM29_2_4,JinlianshanM29_2_4_sg,50calBCE - 550calCE,50calBCE - 550calCE,China_Roman_LateAntiquity,China_Roman_LateAntiquity,"Jinlianshan (Yunnan, Central_YN)","Jinlianshan (Yunnan, Central_YN)",China,China,24.7,103,24.7,103
DA336,irk076,DA336.SG,irk076.SG,36582,0.121727,0.118416,0.125117,DamgaardWillerslevScience2018,KılınçGötherströmSciAdv2021,"(Shamanka-2, burial 3)",irk076,2500-2000 BCE,"2284-2037 calBCE (3750±30 BP, Beta-453104)",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Shamanka-2 (Irkutsk Oblast, Slyudyansky District, Shamanka cape)","Shamanka-2 (Irkutsk Oblast, Slyudyansky District, Shamanka cape)",Russia,Russia,51.698333,103.703056,51.698333,103.703056
Dadunzi,Dadunzi_sg,Dadunzi.AG,Dadunzi_sg.SG,527960,0.121771,0.120891,0.122655,WangFuScience2025,WangFuScience2025,Dadunzi,Dadunzi_sg,1693-1917 calCE,1693-1917 calCE,China_EarlyModern_Modern,China_EarlyModern_Modern,"Dadunzi (Yunnan, West_YN)","Dadunzi (Yunnan, West_YN)",China,China,25.71,101.91,25.71,101.91
XueshanM25_1,XueshanM26_1_d,XueshanM25_1.AG,XueshanM26_1_d_d.SG,59875,0.12182,0.119225,0.124465,WangFuScience2025,WangFuScience2025,XueshanM25_1,XueshanM26_1_d,1600-400 calBCE,1600-400 calBCE,China_LBA_EIA,China_LBA_EIA,"Xueshan (Yunnan, Central_YN)","Xueshan (Yunnan, Central_YN)",China,China,24.7,103,24.7,103
I6963,NEO83,I6963.AG,NEO83.SG,698863,0.121944,0.121179,0.122713,ZengReichNature2025,AllentoftWillerslevNature2024,TYUMEN47 (78-29),"CGG_2_015800 (IPOS_RAS_78-29, Borovyanka-17, burial 36B)","4320-4052 calBCE (5340±30 BP, PSUAMS-3929)","4352-4174 calBCE (5433±37 BP, UBA-39955)",Russia_Omsk_Eneolithic_Chernoozersky-2,Russia_Omsk_Eneolithic,"Borovyanka-17 (Omsk Oblast, Bolsherechensky District, Borovyanka Village)","Borovyanka-17 (Omsk Oblast, Bolsherechensky District, Borovyanka Village)",Russia,Russia,55.756653,74.314006,55.756653,74.314006
KFP-31,KUP026,KFP-31.SG,KUP026.AG,578186,0.122215,0.121373,0.123062,MarótiTörökCurrBiol2022,Gnecchi-RusconeHofmanováNature2024,KFPper31(30b),Kunp_30B,600-700 CE,550-700 CE,Hungary_EarlyAvar-oHighEastAsia,Hungary_EarlyAvar-oHighEastAsia,"Kunpeszér-Felsőpeszériút-Homokbánya (Pest County, Dabas)","Kunpeszér-Felsőpeszéri-út (Bács-Kiskun County, Kunszentmiklós)",Hungary,Hungary,47.21897,19.37753,47.077494,19.242593
