locality,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon
"Yuzhny Oleniy Ostrov (Republic of Karelia, Medvezhyegorsky District, Velikaya Guba Village)",1,"10,000-5,000 BP",18,129,0.2339979112148285,61.937725,35.260893
"Vasilyevskiy kordon-17 (Lipetsk Oblast, Dobrovsky District)",1,"10,000-5,000 BP",9,32,0.23445996642112732,52.9,40.03
"Donkalnis (Telsiai County, Telšių rajono savivaldybė)",1,"10,000-5,000 BP",6,6,0.2356073558330536,55.808,22.422
"Vengerovo-2 (Novosibirsk Oblast, Vengerovsky District)",1,"10,000-5,000 BP",9,18,0.23969310522079468,55.707,76.783
"Boncuklu (Konya, Karatay)",1,"10,000-5,000 BP",4,6,0.23995816707611084,37.75191,32.864901
"Golubaya-Krinitsa (Voronezh Oblast, Rossoshansky District, Golubaya Krinitsa Village)",1,"10,000-5,000 BP",6,5,0.24106936156749725,50.0913528,39.894511099999995
"La Mina (Castilla y León, Soria, Alcubilla de las Peñas)",1,"10,000-5,000 BP",4,6,0.24111947417259216,41.2522,-2.32622
"Oberbipp Horgen (Bern, Wangen)",1,"10,000-5,000 BP",9,25,0.24147436022758484,47.262067,7.659834999999999
"Yasynuvatka (Zaporizhia Oblast, Zaporizhia District, Petro-Mykhailivka municipality)",1,"10,000-5,000 BP",5,10,0.24276113510131836,48.121309,35.090177
"Vilnianka (Zaporizhia Oblast, Zaporizhia District, Vilniansk municipality)",1,"10,000-5,000 BP",10,34,0.24289047718048096,47.9543,35.3893
"Deriivka-1 (Kirovohrad Oblast, Oleksandriia District, Onufriivka municipality)",1,"10,000-5,000 BP",22,151,0.24325823783874512,48.91422000000001,33.764930000000014
"Cova de Els Trocs (Aragón, Huesca, Bisaurri)",1,"10,000-5,000 BP",7,21,0.24454450607299805,42.5,0.5
"Ust'-Belaya (Irkutsk Oblast, Usolskiy District, mouth of the Belaya River)",1,"10,000-5,000 BP",5,10,0.24582403898239136,52.916944,103.657222
"Deriivka (Kirovohrad Oblast, Oleksandriia District)",1,"10,000-5,000 BP",10,36,0.24643489718437195,48.91422,33.76493
"Isbister (Scotland, Orkney)",1,"10,000-5,000 BP",5,10,0.2475661337375641,58.744960000000006,-2.91688
"Blätterhöhle Cave (Nordrhein-Westfalen, Arnsberg, Hagen-Kreisfreie Stadt)",1,"10,000-5,000 BP",4,6,0.2477276623249054,51.358333,7.551111
"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",1,"10,000-5,000 BP",122,4322,0.24818748235702515,47.88967213114754,3.559180327868852
"Holm of Papa Westray North (Scotland, Orkney)",1,"10,000-5,000 BP",4,6,0.2485625147819519,59.353914,-2.8733368
Frälsegården,1,"10,000-5,000 BP",22,122,0.24915634095668793,58.16440000000001,13.4547
"Les Bréguières (Provence-Alpes-Côte d'Azur Region, Alpes-Maritimes Department, Grasse arrondissement)",1,"10,000-5,000 BP",5,10,0.2493383139371872,43.7,6.99
Rössberga,1,"10,000-5,000 BP",15,28,0.2494383156299591,58.229590000000016,13.605850000000002
"Fleury-sur-Orne (Normandie Region, Calvados Department, Caen arrondissement)",1,"10,000-5,000 BP",14,68,0.24952301383018494,49.190000000000005,-0.37999999999999995
"Rákóczifalva-Bivaly-Tó-5 (Jász-Nagykun-Szolnok County, Szolnok)",1,"10,000-5,000 BP",4,6,0.24959567189216614,47.064232,20.211518
"Hazleton North (England, Gloucestershire, Cheltenham)",1,"10,000-5,000 BP",34,518,0.2496606409549713,51.86121099999999,-1.883011
"Szentpéterszeg-Körtvélyes-2 (Hajdú-Bihar County, Berettyóújfalu)",1,"10,000-5,000 BP",5,9,0.24966534972190857,47.254147,21.610127
"Cueva de Chaves (Aragón, Huesca, Bastarás)",1,"10,000-5,000 BP",4,5,0.2499636709690094,42.215129,-0.138457
"Gorzsa Cukormajor (Csongrád-Csanád County, Hódmezővásárhely)",1,"10,000-5,000 BP",7,9,0.2500680088996887,46.36899999999999,20.424000000000003
Hjelmars rör,1,"10,000-5,000 BP",16,38,0.2501557469367981,58.1697,13.578
"Halberstadt (Sachsen-Anhalt, Sachsen-Anhalt, Harz)",1,"10,000-5,000 BP",7,9,0.25015848875045776,51.8958333,11.046666700000001
Ansarve,1,"10,000-5,000 BP",5,9,0.2501867115497589,57.509,18.14
"Derenburg-Meerenstieg-2 (Sachsen-Anhalt, Sachsen-Anhalt, Harz)",1,"10,000-5,000 BP",32,492,0.250347763299942,51.87,10.91
"Mandubi Zelaia (Basque Country, Gipuzkoa, Ezkio-Itsaso)",1,"10,000-5,000 BP",5,10,0.25052881240844727,43.085823,-2.251197
"Grotte-du-Rouquet (Occitanie Region, Aude Department, Narbonne arrondissement, La Clape)",1,"10,000-5,000 BP",6,15,0.2509700059890747,43.177669,3.062455
Yunatsite (Pazardzhik province),1,"10,000-5,000 BP",18,153,0.25100192427635193,42.23,24.26
"Schwetzingen (Baden-Württemberg, Karlsruhe, Rhein-Neckar-Kreis)",1,"10,000-5,000 BP",10,11,0.2510792315006256,49.39,8.569999999999999
"Mérnöki-telep (Tolna County, Szekszárd)",1,"10,000-5,000 BP",5,10,0.25111329555511475,46.208562,18.700047
"Halberstadt-Sonntagsfeld (Sachsen-Anhalt, Sachsen-Anhalt, Harz)",1,"10,000-5,000 BP",24,105,0.25111842155456543,51.8958333,11.046666699999998
"Hajji Firuz (West Azerbaijan, Naghadeh)",1,"10,000-5,000 BP",5,6,0.251170814037323,36.9944,45.4744
"Les Llometes (Valencian community, Alicante, Alcoi)",1,"10,000-5,000 BP",11,17,0.2513786256313324,38.70249999999999,-0.4863099999999999
"Raschoille Cave (Scotland, Argyll and Bute, Oban)",1,"10,000-5,000 BP",8,26,0.251427561044693,56.403333,-5.478056
"Ain Ghazal (Amman, Sahab)",1,"10,000-5,000 BP",9,11,0.25144603848457336,31.988,35.976
"Campo de Hockey (Andalusia, Cádiz, San Fernando)",1,"10,000-5,000 BP",6,5,0.2514650225639343,36.445,-6.21
"Popova-zemlja (Osijek-Baranja County, Grad Beli Manastir)",1,"10,000-5,000 BP",19,170,0.2515156865119934,45.7663,18.571700000000003
"Rákóczifalva-Bivaly-Tó-8 (Jász-Nagykun-Szolnok County, Szolnok)",1,"10,000-5,000 BP",4,6,0.2515504062175751,47.064232,20.211518
"Port Blanc (Bretagne Region, Morbihan Department, Lorient arrondissement, Saint-Pierre Quiberon)",1,"10,000-5,000 BP",6,15,0.2516140639781952,47.523479,-3.1545990000000006
"Mittelfeld-Rosenmeer (Grand Est Region, Bas-Rhin Department, Molsheim arrondissement, Rosheim)",1,"10,000-5,000 BP",4,5,0.25163787603378296,48.49666,7.47052
"Lugar do Canto (Santarém, Valverde)",1,"10,000-5,000 BP",4,6,0.2516915798187256,39.414,-8.822
"Barcın-Höyük (Bursa, Yenişehir)",1,"10,000-5,000 BP",26,300,0.2518308162689209,40.303700000000006,29.608500000000006
"Geoksyur (Ahai, Tejen)",1,"10,000-5,000 BP",22,138,0.2518646717071533,37.1907,61.03430000000001
"Asparn Schletz (Niederösterreich, Mistelbach)",1,"10,000-5,000 BP",89,3542,0.25193631649017334,48.57975199999999,16.469310000000004
"Stuttgart-Mühlhausen-2 (Baden-Württemberg, Stuttgart, Stuttgart-Stadtkreis)",1,"10,000-5,000 BP",9,11,0.2519899010658264,48.78,9.18
Pietrele Măgura Gorgana (Giurgiu County),1,"10,000-5,000 BP",51,1107,0.25208526849746704,44.06806,26.156169999999996
"Varna (province Varna, municipality Varna)",1,"10,000-5,000 BP",28,318,0.2523239552974701,43.2177575,27.905192142857135
"Tepecik-Ciftlik (Niğde, Çiftlik)",1,"10,000-5,000 BP",5,6,0.2523294687271118,38.172218,34.49387
